Name,Email,Phone Number,Address,Birthdate,Company,Favorite Color,Website
Jennifer Dixon,jasonhorton@example.com,001-639-393-4145x13200,"886 Conrad Summit
Michelleside, ID 54186",1972-04-23,Serrano-Gonzalez,SpringGreen,https://www.aguirre.info/
Jason Moore,michele80@example.org,306-890-4254,"517 Anderson Burgs
Billyburgh, FL 20622",1981-07-08,"Bailey, Potts and Harris",MediumOrchid,https://green.com/
Zachary Gutierrez,anthony94@example.com,+1-240-872-4811x43946,"3174 Palmer Lake Apt. 219
Port Kimberlychester, PR 67887",2000-03-23,"Black, King and Cole",GoldenRod,https://www.woods.com/
Nicole Brown,greenbrian@example.org,(331)399-1928x5106,"4909 Green Ferry Suite 534
Shawfort, VA 32425",1998-01-29,"Scott, Bates and Berger",Tomato,http://www.shepherd-cruz.info/
Andrew Wright,kimberly63@example.net,6412666012,"PSC 8022, Box 2689
APO AA 33445",1949-02-03,Ferguson-Fields,Plum,http://anderson.com/
Destiny Cummings,hannah85@example.org,778-284-5385x19081,"60694 Lewis Ferry
Whitechester, OR 95567",1959-11-15,"Jones, Hicks and Rogers",Linen,https://www.anderson.com/
Devon Jones,douglasramirez@example.net,001-871-363-2628,"95963 Gomez Road Apt. 437
Port Erica, GA 87461",1998-09-20,Gilmore-Burnett,Thistle,http://www.walters.com/
Emily Carr,chapmaneric@example.com,880.967.4690,"50779 Kennedy Alley Suite 283
Duffyport, NJ 17855",1986-05-30,"Jennings, Duarte and Marquez",Azure,https://payne.biz/
Nicholas Johnson,alvaradojason@example.com,350.760.9169x2066,"150 Diana Locks Apt. 391
Craigside, MI 15003",1947-07-05,Ramirez Group,Navy,http://www.garcia.biz/
Hannah Hart,michael44@example.org,(628)228-4861x24472,"63492 Andrews Stravenue
Laurenfurt, PA 40269",1950-12-07,"White, Hill and Harrison",Blue,http://www.williams.biz/
